call_letters,station_name,frequency,format,market_city,market_state,market_rank,owner,address,phone_main,phone_direct,phone_studio,contact_name,contact_title,contact_email,best_call_days,best_call_time_start,best_call_time_end,timezone,last_called,last_result,follow_up_date,status,notes,verified_date,source
WKAC,,1080 AM,,Athens,AL,104,Limestone Broadcasting Company,"P.O. BOX 1083, ATHENS, AL",2562326827,,,,PD — research via AllAccess,,,,,CT,,,,UNVERIFIED,"FCC svc=AM fac_id=37505 cbsa_match=Huntsville, AL → Nielsen #104 fcc_applicant=LIMESTONE BROADCASTING COMPANY fcc_applicant_email=JOYCE@WKAC1080.COM",,FCC LMS 2026-04-23
WKAX,,1500 AM,,Russellville,AL,,Pilati Investments INC,"113 WASHINGTON AVE NW, RUSSELLVILLE, AL",2563320214,,,,,,,,,CT,,,,UNVERIFIED,"FCC svc=AM fac_id=57623 cbsa=Russellville, AL",,FCC LMS 2026-04-23
WKEA-FM,,98.3 FM,,Scottsboro,AL,,"KEA Radio, INC","P.O. BOX 966, SCOTTSBORO, AL",2562592341,,,,,,,,,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=33781 cbsa=Scottsboro, AL",,FCC LMS 2026-04-23
WKGA,,97.5 FM,,Goodwater,AL,,Allan G. Stroh,"702 EAST BATTLE STREET, SUITE A, TALLADEGA, AL",2567619779,,,,PD — research via AllAccess,,,,,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=64557 cbsa=Talladega-Sylacauga, AL fcc_applicant_email=STAR97@AOL.COM",,FCC LMS 2026-04-23
WKKR,,97.7 FM,,Auburn,AL,,"Fuller Broadcasting Company, INC","C/O ELIZABETH HAMMOND/ ARTER & HADDEN, 1801 K STREET, SUITE 400K, WASHINGTON, DC",,,,,,,,,,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=22875 cbsa=Auburn-Opelika, AL",,FCC LMS 2026-04-23
WKLF,,1000 AM,,Clanton,AL,61,Wklf LLC,"1925 LAY DAM ROAD, CLANTON, AL",2056464943,,,,PD — research via AllAccess,,,,,CT,,,,UNVERIFIED,"FCC svc=AM fac_id=61222 cbsa_match=Birmingham, AL → Nielsen #61 fcc_applicant_email=JOHNSONCHRISW@BELLSOUTH.NET",,FCC LMS 2026-04-23
WKLS,,105.9 FM,,Southside,AL,,"Williams Communications, INC","1400 Village Square Blvd Suite #3 - #407, Tallahasssee, FL",2562361274,,,,PD — research via AllAccess,,,,,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=10701 cbsa=Gadsden, AL fcc_applicant_email=1055thecoast@gmail.com",,FCC LMS 2026-04-23
WKMX,,106.7 FM,,Enterprise,AL,,"Wkmx, INC","P. O. BOX 840, ENTERPRISE, AL",,,,,,,,,,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=73179 cbsa=Enterprise, AL",,FCC LMS 2026-04-23
WKNG-FM,,89.1 FM,,Heflin,AL,,"Covenant Communications, INC","102 PARKWOOD CENTER, CARROLLTON, GA",7702145989,,,,PD — research via AllAccess,,,,,CT,,,,UNVERIFIED,FCC svc=FM fac_id=92876 fcc_applicant_email=steve1027@aol.com,,FCC LMS 2026-04-23
WKNU,,106.3 FM,,Brewton,AL,,"Ellington Radio, INC","P.O. BOX 784, BREWTON, AL",2513630219,,,,PD — research via AllAccess,,,,,CT,,,,UNVERIFIED,FCC svc=FM fac_id=19430 fcc_applicant_email=HUGHELLINGTON@ATT.NET,,FCC LMS 2026-04-23
WKSJ-FM,,94.9 FM,,Mobile,AL,101,iHeartMedia,"200 E. BASSE ROAD, SAN ANTONIO, TX",,,,,,,"Tuesday,Wednesday,Thursday",10:00,11:30,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=53145 metro=Mobile licensee=CLEAR CHANNEL BROADCASTING LICENSES, INC.",,FCC LMS 2026-04-23
WKUA,,88.5 FM,Religious/Christian,Moundville,AL,200,American Family Radio,"PO Drawer 2440, TUPELO, MS",6628448888,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",09:00,11:00,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=171636 cbsa_match=Tuscaloosa, AL → Nielsen #200 licensee=AMERICAN FAMILY ASSOCIATION fcc_applicant_email=JES@AFA.NET",,FCC LMS 2026-04-23
WKUL,,92.1 FM,,Cullman,AL,,"Jonathan Christian Corporation, INC","PO BOX 803, CULLMAN, AL",,,,,,,,,,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=31933 cbsa=Cullman, AL",,FCC LMS 2026-04-23
WKVV,,97.3 FM,Religious/Christian,Gardendale,AL,61,Educational Media Foundation (K-LOVE/Air1),"2000 Reams Fleming Boulevard, Franklin, CA",9162511600,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",09:00,11:00,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=71417 cbsa_match=Birmingham, AL → Nielsen #61 licensee=K-LOVE, Inc. fcc_applicant_email=fccdocumentdistribution@emfbroadcasting.com",,FCC LMS 2026-04-23
WKWL,,1230 AM,,Florala,AL,,"Florala Broadcasting Co., INC","P.O. BOX 159, SOUTH 6TH ST, FLORALA, AL",3344881385,,,,PD — research via AllAccess,,,,,CT,,,,UNVERIFIED,FCC svc=AM fac_id=21743 fcc_applicant_email=info@jockjive.com,,FCC LMS 2026-04-23
WKXK,,96.7 FM,,Pine Hill,AL,,Autaugaville Radio INC,"MANNINGHAM ROAD AT I-65, P.O. BOX 369, GREENVILLE, AL",,,,,,,,,,CT,,,,UNVERIFIED,FCC svc=FM fac_id=76747,,FCC LMS 2026-04-23
WKXM-FM,,97.7 FM,,Winfield,AL,,James Boyd Pate,"PO BOX 608, ATTENTION:  B. MAXINE HARPER, WINFIELD, AL",,,,,,,,,,CT,,,,UNVERIFIED,FCC svc=FM fac_id=435,,FCC LMS 2026-04-23
WKXN,,95.7 FM,,Fort Deposit,AL,154,Wkxn Corporation,"P. O. BOX 369, GREENVILLE, AL",3343826555,,,,,,,,,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=73194 cbsa_match=Montgomery, AL → Nielsen #154",,FCC LMS 2026-04-23
WKXX,,102.9 FM,,Attalla,AL,,Broadcast Media LLC,"POST OFFICE BOX 190, ALBERTVILLE, AL",2568785446,,,,PD — research via AllAccess,,,,,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=957 cbsa=Gadsden, AL fcc_applicant_email=jeanniecourington@yahoo.com",,FCC LMS 2026-04-23
WKYD,,106.3 FM,,Maplesville,AL,61,Wklf LLC,"1925 Lay Dam Road, Clanton, AL",2056464943,,,,PD — research via AllAccess,,,,,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=762462 cbsa_match=Birmingham, AL → Nielsen #61 fcc_applicant_email=cjohnson@wklfradio.com",,FCC LMS 2026-04-23
WKZJ,,92.7 FM,,Eufaula,AL,,"Lake Eufaula Broadcasting, INC","P O BOX 2127, COLUMUS, GA",,,,,,,,,,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=36307 cbsa=Eufaula, AL-GA",,FCC LMS 2026-04-23
WLAY,,1450 AM,,Muscle Shoals,AL,,Cumulus Media,"3535 PIEDMONT ROAD, BUILDING 14 14TH FLOOR, ATLANTA, GA",,,,,,,"Tuesday,Wednesday,Thursday",10:00,11:30,CT,,,,UNVERIFIED,"FCC svc=AM fac_id=60611 cbsa=Florence-Muscle Shoals, AL licensee=CUMULUS LICENSING CORP.",,FCC LMS 2026-04-23
WLAY-FM,,100.1 FM,,Littleville,AL,,Cumulus Media,"3535 PIEDMONT ROAD, BUILDING 14 14TH FLOOR, ATLANTA, GA",,,,,,,"Tuesday,Wednesday,Thursday",10:00,11:30,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=14928 cbsa=Florence-Muscle Shoals, AL licensee=CUMULUS LICENSING CORP.",,FCC LMS 2026-04-23
WLBF,,89.1 FM,,Montgomery,AL,154,"Montgomery Educational Radio, INC","P.O. BOX 210789, MONTGOMERY, AL",,,,,,,,,,CT,,,,UNVERIFIED,FCC svc=FM fac_id=43643 metro=Montgomery,,FCC LMS 2026-04-23
WLBJ,,93.5 FM,Religious/Christian,Butler,AL,,Educational Media Foundation (K-LOVE/Air1),"2000 Reams Fleming Boulevard, Franklin, TN",9162511600,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",09:00,11:00,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=7903 licensee=K-LOVE, Inc. fcc_applicant_email=fccdocumentdistribution@emfbroadcasting.com",,FCC LMS 2026-04-23
WLDQ,,102.5 FM,,Dothan,AL,191,"Kensington Digital Media of Alabama, L.L.C","100 Winners Circle, Suite 330, Brentwood, TN",2604130144,,,,PD — research via AllAccess,,,,,CT,,,,UNVERIFIED,FCC svc=FM fac_id=6891 metro=Dothan fcc_applicant_email=trichards@kensington.media,,FCC LMS 2026-04-23
WLDX,,990 AM,,Fayette,AL,,"Dean Broadcasting, INC","PO BOX 189, FAYETTE, AL",2059323318,,,,PD — research via AllAccess,,,,,CT,,,,UNVERIFIED,FCC svc=AM fac_id=60505 fcc_applicant_email=SDEAN@WATVC.COM,,FCC LMS 2026-04-23
WLGO,,90.1 FM,,Sawyerville,AL,,National Association for the Prevention of Starvation,"P.O. Box 100, Greensboro, AL",2562627712,,,,PD — research via AllAccess,,,,,CT,,,,UNVERIFIED,FCC svc=FM fac_id=767542 fcc_applicant_email=dwilliams@napsoc.org,,FCC LMS 2026-04-23
WLGQ,,91.5 FM,Religious/Christian,Gadsden,AL,,Educational Media Foundation (K-LOVE/Air1),"2000 Reams Fleming Boulevard, Franklin, TN",9162511600,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",09:00,11:00,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=23002 cbsa=Gadsden, AL licensee=K-LOVE, Inc. fcc_applicant_email=fccdocumentdistribution@emfbroadcasting.com",,FCC LMS 2026-04-23
WLJL,,91.7 FM,,Lincoln,AL,61,Elijah Radio,"POB 23, Margaret, AL",2055303545,,,,PD — research via AllAccess,,,,,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=764082 cbsa_match=Birmingham, AL → Nielsen #61 fcc_applicant_email=Luke@ElijahRadio.org",,FCC LMS 2026-04-23
WLJR,,88.5 FM,Religious/Christian,Birmingham,AL,61,Briarwood Presbyterian Church,"2200 BRIARWOOD WAY, BIRMINGHAM, AL",,,,,,,"Tuesday,Wednesday,Thursday",09:00,11:00,CT,,,,UNVERIFIED,FCC svc=FM fac_id=6804 metro=Birmingham,,FCC LMS 2026-04-23
WLJS-FM,,91.9 FM,College/Educational,Jacksonville,AL,,BOARD OF TRUSTEES of JACKSONVILLE STATE UNIVERSITY,"700 PELHAM RD N, JACKSONVILLE, AL",2567825713,,,,PD — research via AllAccess,,"Monday,Tuesday,Wednesday,Thursday",14:00,17:00,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=4300 cbsa=Anniston-Oxford, AL fcc_applicant_email=mstedham@jsu.edu",,FCC LMS 2026-04-23
WLPR,,960 AM,,Prichard,AL,101,"Evangel Christian School, INC","P.O. BOX 1328, MOBILE, AL",,,,,,,,,,CT,,,,UNVERIFIED,"FCC svc=AM fac_id=24454 cbsa_match=Mobile, AL → Nielsen #101",,FCC LMS 2026-04-23
WLRH,,89.3 FM,Public Radio (News/Classical/AAA),Huntsville,AL,104,Alabama Public Radio,"2112 11TH AVE S, SUITE 400, BIRMINGHAM, AL",2054510132,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",10:00,15:00,CT,,,,UNVERIFIED,FCC svc=FM fac_id=719 metro=Huntsville licensee=ALABAMA EDUCATIONAL TELEVISION COMMISSION fcc_applicant_email=dblack@aptv.org,,FCC LMS 2026-04-23
WLVM,,98.3 FM,Religious/Christian,Chickasaw,AL,101,Educational Media Foundation (K-LOVE/Air1),"2000 Reams Fleming Boulevard, Franklin, TN",9162511600,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",09:00,11:00,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=68843 cbsa_match=Mobile, AL → Nielsen #101 licensee=K-LOVE, Inc. fcc_applicant_email=fccdocumentdistribution@emfbroadcasting.com",,FCC LMS 2026-04-23
WLVS,,1340 AM,,Florence,AL,,BIG River Broadcasting Corporation,"624 SAM PHILLIPS ST, FLORENCE, AL",2567648121,,,,PD — research via AllAccess,,,,,CT,,,,UNVERIFIED,"FCC svc=AM fac_id=5272 cbsa=Florence-Muscle Shoals, AL fcc_applicant_email=nmartin@bigriverbroadcasting.com",,FCC LMS 2026-04-23
WLWE,,1360 AM,,Roanoke,AL,,"Eagle's Nest, INC","6855 HIGHWAY 431, ROANOKE, AL",,,,,,,,,,CT,,,,UNVERIFIED,FCC svc=AM fac_id=18134,,FCC LMS 2026-04-23
WLWI-FM,,92.3 FM,,Montgomery,AL,154,Cumulus Media,"780 Johnson Ferry Road, Suite 500, Atlanta, GA",4049490700,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",10:00,11:30,CT,,,,UNVERIFIED,FCC svc=FM fac_id=12318 metro=Montgomery licensee=Cumulus Licensing LLC fcc_applicant_email=FCCLicenseManagement@cumulus.com,,FCC LMS 2026-04-23
WLXA,,98.3 FM,,Florence,AL,,"Pulaski Broadcasting, INC","P.O. BOX 738, PULASKI, TN",,,,,,,,,,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=53875 cbsa=Florence-Muscle Shoals, AL",,FCC LMS 2026-04-23
WLXQ,,99.1 FM,Religious/Christian,Greensboro,AL,200,Educational Media Foundation (K-LOVE/Air1),"2000 Reams Fleming Boulevard, Franklin, TN",9162511600,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",09:00,11:00,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=86803 cbsa_match=Tuscaloosa, AL → Nielsen #200 licensee=K-LOVE, Inc. fcc_applicant_email=fccdocumentdistribution@emfbroadcasting.com",,FCC LMS 2026-04-23
WLYB,,96.3 FM,,Livingston,AL,,"Blackbelt Broadcasting, INC","618 EAST GATE CIRCLE, FOLEY, AL",2515507947,,,,PD — research via AllAccess,,,,,CT,,,,UNVERIFIED,FCC svc=FM fac_id=189541 fcc_applicant_email=damon@wlybfm.com,,FCC LMS 2026-04-23
WMBV,,91.9 FM,,Dixons Mills,AL,,"Southwest Alabama Educational Radio, INC","820 N. LASALEE DRIVE, CHICAGO, IL",,,,,,,,,,CT,,,,UNVERIFIED,FCC svc=FM fac_id=43690,,FCC LMS 2026-04-23
WMFT,,88.9 FM,Religious/Christian,Tuscaloosa,AL,200,Moody Radio,"820 NORTH LASALLE BOULEVARD, Chicago, IL",3123298019,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",09:00,11:00,CT,,,,UNVERIFIED,FCC svc=FM fac_id=83088 metro=Tuscaloosa licensee=THE MOODY BIBLE INSTITUTE OF CHICAGO fcc_applicant_email=julie.armstrong@moody.edu,,FCC LMS 2026-04-23
WMGJ,,1240 AM,,Gadsden,AL,,Floyd L. Donald Broadcasting Co. INC,"815 Tuscalloosa Avenue, GADSDEN, AL",2565464434,,,,PD — research via AllAccess,,,,,CT,,,,UNVERIFIED,"FCC svc=AM fac_id=21817 cbsa=Gadsden, AL fcc_applicant_email=fcclaw@rjhayes.com",,FCC LMS 2026-04-23
WMGY,,800 AM,,Montgomery,AL,154,"Wmgy Radio, INC","3601 ROSWELL PLACE, MONTGOMERY, AL",3342131160,,,,PD — research via AllAccess,,,,,CT,,,,UNVERIFIED,"FCC svc=AM fac_id=73260 metro=Montgomery fcc_applicant=WMGY RADIO, INC. fcc_applicant_email=NHWALKER@BELLSOUTH.NET",,FCC LMS 2026-04-23
WMHZ,,1340 AM,,Holt,AL,200,"Tti, INC","PO BOX 70937, Tuscaloosa, AL",2053459573,,,,PD — research via AllAccess,,,,,CT,,,,UNVERIFIED,"FCC svc=AM fac_id=161136 cbsa_match=Tuscaloosa, AL → Nielsen #200 fcc_applicant_email=dave@dbaughn.com",,FCC LMS 2026-04-23
WMJB,,95.3 FM,,Valley,AL,,Pearce Broadcasting Partnership,"PO BOX 639, VALLEY, AL",,,,,,,,,,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=52040 cbsa=LaGrange, GA-AL",,FCC LMS 2026-04-23
WMJJ,,96.5 FM,,Birmingham,AL,61,iHeartMedia,"7136 S. YALE AVENUE, SUITE 501, TULSA, OK",9186644581,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",10:00,11:30,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=2111 metro=Birmingham licensee=IHM LICENSES, LLC fcc_applicant_email=FCCCONTACT@IHEARTMEDIA.COM",,FCC LMS 2026-04-23
WMMA,,1480 AM,Religious/Christian,Irondale,AL,61,La Promesa Foundation (Guadalupe Radio),"1903 S. Lamesa Road, Midland, TX",4326825476,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",09:00,11:00,CT,,,,UNVERIFIED,"FCC svc=AM fac_id=726 cbsa_match=Birmingham, AL → Nielsen #61 licensee=LA Promesa Foundation fcc_applicant_email=sammy@grnonline.com",,FCC LMS 2026-04-23
WMRK-FM,,107.9 FM,,Shorter,AL,154,"Marion Radio, INC","273 PERSIMMON TREE RD, SELMA, AL",,,,,,,,,,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=59383 cbsa_match=Montgomery, AL → Nielsen #154",,FCC LMS 2026-04-23
WMSP,,740 AM,,Montgomery,AL,154,Cumulus Media,"780 Johnson Ferry Road, Suite 500, Atlanta, GA",4049490700,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",10:00,11:30,CT,,,,UNVERIFIED,FCC svc=AM fac_id=12316 metro=Montgomery licensee=Cumulus Licensing LLC fcc_applicant_email=FCCLicenseManagement@cumulus.com,,FCC LMS 2026-04-23
WMXA,,96.7 FM,,Opelika,AL,,"Fuller Broadcasting Company, INC","C/O ELIZABETH HAMMOND/ ARTER & HADDEN, 1801 K STREET, SUITE 400K, WASHINGTON, DC",,,,,,,,,,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=22877 cbsa=Auburn-Opelika, AL",,FCC LMS 2026-04-23
WMXB,,1280 AM,,Tuscaloosa,AL,200,"Lawson OF Tuscaloosa, INC","P.O. BOX 70427, (601 GREENBORO AVE, SUITE 507), TUSCALOOSA, AL",2053454787,,,,PD — research via AllAccess,,,,,CT,,,,UNVERIFIED,FCC svc=AM fac_id=68420 metro=Tuscaloosa fcc_applicant_email=jwlawson@bellsouth.net,,FCC LMS 2026-04-23
WMXC,,99.9 FM,,Mobile,AL,101,iHeartMedia,"200 E. BASSE ROAD, SAN ANTONIO, TX",,,,,,,"Tuesday,Wednesday,Thursday",10:00,11:30,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=8696 metro=Mobile licensee=CLEAR CHANNEL BROADCASTING LICENSES, INC.",,FCC LMS 2026-04-23
WMXN-FM,,101.7 FM,,Stevenson,AL,,Lynn Limited,"PO BOX 966, SCOTTSBORO, AL",,,,,,,,,,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=33780 cbsa=Scottsboro, AL",,FCC LMS 2026-04-23
WMXS,,103.3 FM,,Montgomery,AL,154,Cumulus Media,"780 Johnson Ferry Road, Suite 500, Atlanta, GA",4049490700,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",10:00,11:30,CT,,,,UNVERIFIED,FCC svc=FM fac_id=12322 metro=Montgomery licensee=Cumulus Licensing LLC fcc_applicant_email=FCCLicenseManagement@cumulus.com,,FCC LMS 2026-04-23
WNGL,,1410 AM,,Mobile,AL,101,"Archangel Communications, INC","399 S. SECTION STREET, FAIRHOPE, AL",5406228070,,,,PD — research via AllAccess,,,,,CT,,,,UNVERIFIED,FCC svc=AM fac_id=854 metro=Mobile fcc_applicant_email=NOLAN@LEGALWORKS.COM,,FCC LMS 2026-04-23
WNSP,,105.5 FM,,Bay Minette,AL,,"Com+, LLC","2163 VENETIA RD, MOBILE, AL",,,,,,,,,,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=21227 cbsa=Daphne-Fairhope-Foley, AL",,FCC LMS 2026-04-23
WNTM,,710 AM,,Mobile,AL,101,iHeartMedia,"7136 S. YALE AVENUE, SUITE 501, TULSA, OK",9186644581,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",10:00,11:30,CT,,,,UNVERIFIED,"FCC svc=AM fac_id=8695 metro=Mobile licensee=IHM LICENSES, LLC fcc_applicant_email=FCCCONTACT@IHEARTMEDIA.COM",,FCC LMS 2026-04-23
WNWF,,1470 AM,,Evergreen,AL,,Wolff Broadcasting Corporation,"P.O. BOX  679, ORANGE BEACH, AL",,,,,,,,,,CT,,,,UNVERIFIED,FCC svc=AM fac_id=73372,,FCC LMS 2026-04-23
WOAB,,104.9 FM,,Ozark,AL,,Ozark Broadcasting Corporation,"P. O. BOX 911, OZARK, AL",,,,,,,,,,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=51095 cbsa=Ozark, AL",,FCC LMS 2026-04-23
WOOF,,560 AM,,Dothan,AL,191,"Woof, INC","P. O. BOX 1427, DOTHAN, AL",,,,,,,,,,CT,,,,UNVERIFIED,FCC svc=AM fac_id=73675 metro=Dothan,,FCC LMS 2026-04-23
WOOF-FM,,99.7 FM,,Dothan,AL,191,"Woof, INC","2518 Columbia Highway, DOTHAN, AL",3347908533,,,,PD — research via AllAccess,,,,,CT,,,,UNVERIFIED,FCC svc=FM fac_id=73674 metro=Dothan fcc_applicant_email=mholderfield@997wooffm.com,,FCC LMS 2026-04-23
WOPP,,1290 AM,,Opp,AL,,"E & R Broadcasting, INC","1101 CAMERON RD, OPP, AL",3344934545,,,,PD — research via AllAccess,,,,,CT,,,,UNVERIFIED,FCC svc=AM fac_id=17829 fcc_applicant_email=ron011261@gmail.com,,FCC LMS 2026-04-23
WOWB,,90.9 FM,Religious/Christian,Brewton,AL,,Marranatha Ministries Foundation INC,"P.O. BOX 10, ATMORE, AL",,,,,,,"Tuesday,Wednesday,Thursday",09:00,11:00,CT,,,,UNVERIFIED,FCC svc=FM fac_id=40428,,FCC LMS 2026-04-23
WOZK,,900 AM,,Ozark,AL,,"Dockins Communications, Inc","900 East Karsch Blvd, Farmington, MO",5737019590,,,,PD — research via AllAccess,,,,,CT,,,,UNVERIFIED,"FCC svc=AM fac_id=51092 cbsa=Ozark, AL fcc_applicant_email=fdockins@dockinsbroadcastgroup.com",,FCC LMS 2026-04-23
WPHH,,106.5 FM,Religious/Christian,Hope Hull,AL,,Radio Training Network (The JOY FM),"P.O. BOX 7217, LAKELAND, FL",8636443464,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",09:00,11:00,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=62206 licensee=Radio Training Network, INC fcc_applicant_email=GOSRAD@AOL.COM",,FCC LMS 2026-04-23
WPJN,,89.3 FM,,Jemison,AL,61,C W Johnson Education Foundation INC,"1925 LAY DAM ROAD, CLANTON, AL",2056464943,,,,PD — research via AllAccess,,,,,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=165498 cbsa_match=Birmingham, AL → Nielsen #61 fcc_applicant_email=JOHNSONCHRISW@BELLSOUTH.NET",,FCC LMS 2026-04-23
WPPG,,101.1 FM,,Repton,AL,,Brantley Broadcast Associates,"415 NORTH COLLEGE STREET, GREENVILLE, AL",,,,,,,,,,CT,,,,UNVERIFIED,FCC svc=FM fac_id=40901,,FCC LMS 2026-04-23
WQAH-FM,,105.7 FM,,Addison,AL,,Newman Family Partnership,"2231 BURNINGTREE DRIVE, DECATUR, AL",,,,,,,,,,CT,,,,UNVERIFIED,FCC svc=FM fac_id=48737,,FCC LMS 2026-04-23
WQCR,,1500 AM,,Alabaster,AL,61,"Rivera Communications, LLC","2052 Oak Mountain Drive, PELHAM, AL",2055381100,,,,PD — research via AllAccess,,,,,CT,,,,UNVERIFIED,"FCC svc=AM fac_id=72131 cbsa_match=Birmingham, AL → Nielsen #61 fcc_applicant_email=csaenz@riveraradiomedia.com",,FCC LMS 2026-04-23
WQEM,,101.5 FM,Religious/Christian,Columbiana,AL,61,Glen Iris Baptist School,"1137 10TH PL S, BIRMINGHAM, AL",2053232747,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",09:00,11:00,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=41641 cbsa_match=Birmingham, AL → Nielsen #61 fcc_applicant_email=hancockp01@gmail.com",,FCC LMS 2026-04-23
WQEN,,103.7 FM,,Trussville,AL,61,iHeartMedia,"7136 S. YALE AVENUE, SUITE 501, TULSA, OK",9186644581,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",10:00,11:30,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=22997 cbsa_match=Birmingham, AL → Nielsen #61 licensee=IHM LICENSES, LLC fcc_applicant_email=FCCCONTACT@IHEARTMEDIA.COM",,FCC LMS 2026-04-23
WQJL,,90.5 FM,,Elkmont,AL,104,National Association for the Prevention of Starvation,"P.O. Box 100, Greensboro, AL",2562627712,,,,PD — research via AllAccess,,,,,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=765751 cbsa_match=Huntsville, AL → Nielsen #104 fcc_applicant_email=dwilliams@napsoc.org",,FCC LMS 2026-04-23
WQKS-FM,,96.1 FM,,Montgomery,AL,154,"Montgomery Broadcast Properties, LTD","P.O. BOX 210723, MONTGOMERY, AL",,,,,,,,,,CT,,,,UNVERIFIED,FCC svc=FM fac_id=43628 metro=Montgomery,,FCC LMS 2026-04-23
WQLT-FM,,107.3 FM,,Florence,AL,,BIG River Broadcasting Corporation,"624 SAM PHILLIPS STREET, FLORENCE, AL",,,,,,,,,,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=5274 cbsa=Florence-Muscle Shoals, AL",,FCC LMS 2026-04-23
WQNR,,99.9 FM,,Tallassee,AL,154,"Double H Broadcasting, INC","320 BARNETT BLVD., TALLASSEE, AL",,,,,,,,,,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=68310 cbsa_match=Montgomery, AL → Nielsen #154",,FCC LMS 2026-04-23
WQOH-FM,,88.7 FM,Religious/Christian,Springville,AL,61,La Promesa Foundation (Guadalupe Radio),"1903 S. Lamesa Road, Midland, TX",4326825476,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",09:00,11:00,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=174604 cbsa_match=Birmingham, AL → Nielsen #61 licensee=LA Promesa Foundation fcc_applicant_email=sammy@grnonline.com",,FCC LMS 2026-04-23
WQPR,,88.7 FM,College/Educational,Muscle Shoals,AL,,THE Board OF Trustees OF THE University OF Alabama,"BOX 870370, #17 BRYCE LA, TUSCALOOSA, AL",,,,,,,"Monday,Tuesday,Wednesday,Thursday",14:00,17:00,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=65441 cbsa=Florence-Muscle Shoals, AL",,FCC LMS 2026-04-23
WQRR,,101.7 FM,,Reform,AL,200,Townsquare Media,"4 Manhattanville Road, Suite 107, Purchase, NY",2038610900,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",10:00,11:30,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=67577 cbsa_match=Tuscaloosa, AL → Nielsen #200 licensee=Townsquare License, LLC fcc_applicant_email=fcccontact@townsquaremedia.com",,FCC LMS 2026-04-23
WQRV,,100.3 FM,,Meridianville,AL,104,Elton H. Darby,"509 NORTH MAIN STREET, TUSCUMBIA, AL",,,,,,,,,,CT,,,,UNVERIFIED,"FCC svc=FM fac_id=19456 cbsa_match=Huntsville, AL → Nielsen #104",,FCC LMS 2026-04-23
